"TGS 2600;TGS 2602;TGS 2610;label"
"701.43;153.69;2105.65;pertamax"
"705.79;148.14;2030.78;pertamax"
"714.60;145.96;1959.17;pertamax"
"728.04;145.96;1987.43;pertamax"
"751.02;154.82;2030.78;pertamax"
"755.71;153.69;1973.24;pertamax"
"746.36;150.34;1917.71;pertamax"
"732.57;145.96;1787.04;pertamax"
"714.60;141.67;1725.78;pertamax"
"705.79;152.57;1890.66;pertamax"
"728.04;178.75;2334.45;pertamax"
"741.74;193.08;2442.07;pertamax"
"769.95;193.08;2442.07;pertamax"
"809.36;209.72;2595.57;pertamax"
"878.06;219.95;2697.81;pertamax"
"965.29;235.26;2656.30;pertamax"
"1041.96;241.63;2635.86;pertamax"
"1096.84;238.43;2615.61;pertamax"
"1140.13;236.84;2656.30;pertamax"
"1185.38;240.02;2718.87;pertamax"
"1193.12;232.13;2676.95;pertamax"
"1185.38;227.50;2635.86;pertamax"
"1185.38;224.46;2536.60;pertamax"
"1162.50;215.52;2387.49;pertamax"
"1140.13;204.05;2266.02;pertamax"
"1089.80;195.78;2232.76;pertamax"
"1062.17;186.46;2152.23;pertamax"
"1009.22;180.02;1987.43;pertamax"
"953.13;171.30;1890.66;pertamax"
"906.14;164.08;1762.22;pertamax"
"856.28;157.10;1690.25;pertamax"
"829.86;152.57;1737.83;pertamax"
"819.54;150.34;1787.04;pertamax"
"784.49;149.24;1787.04;pertamax"
"779.61;149.24;1737.83;pertamax"
"751.02;144.88;1701.99;pertamax"
"737.14;139.56;1655.59;pertamax"
"705.79;135.42;1578.00;pertamax"
"675.82;129.37;1514.93;pertamax"
"651.18;126.41;1484.52;pertamax"
"639.21;135.42;1655.59;pertamax"
"631.35;139.56;1837.96;pertamax"
"655.22;150.34;2075.30;pertamax"
"719.05;165.27;2351.96;pertamax"
"774.77;181.29;2536.60;pertamax"
"850.92;202.65;2761.65;pertamax"
"906.14;215.52;2827.44;pertamax"
"959.19;216.99;2761.65;pertamax"
"953.13;211.16;2556.07;pertamax"
"959.19;204.05;2498.24;pertamax"
"953.13;209.72;2517.33;pertamax"
